Po prepuknutí rezignácie, respektíve zúfalstva, sa milenec vzdáva nádeje a skĺza do depresie.	As resignation/despair sets in, the lover gives up hope and slips into depression.	0.253521
Analýza jednoduchých pohybových úloh ukázala významné pôsobenie hemisféry (F1, 48=86.23; P<0. 01), pričom sme zaznamenali väčšiu aktiváciu v kontralaterálnej hemisfére v porovnaní s ipsilaterálnou hemisférou.	Analysis of the simple movement task data revealed a significant effect of hemisphere (F1, 48=86.23; P<0. 01), indicating larger activation in the contralateral, compared to the ipsilateral, hemisphere.	0.746198
Žiadne iné faktory alebo interakcie nedosiahli podobný význam.	No other factors or interactions reached significance.	0.257143
Rovnaká analýza, ktorú sme vykonali pre komplexné pohybové úlohy, ukázala podstatné pôsobenie hemisféry (F1, 48 =74.94; P<0. 01, s väčšími kontralaterálnymi aktiváciami) a významné interakcie v prípade skupina x ruka x hemisféra (F3, 48 =6. 34; P<0. 01).	The same analysis performed for complex task showed a significant main effects of hemisphere (F1, 48 =74.94; P<0.01, with larger contralateral activations) and a significant interaction of group × hand × hemisphere(F3, 48 =6. 34; P<0. 01).	1.77941
Ako ukazuje obrázok 2, v skupine RH sme počas vykonávania komplexnej pohybovej úlohy zaznamenali väčšie kontralaterálne aktivácie vyvolané pohybmi pravej (preferovanej) ruky než pohybmi ľavej (nepreferovanej) ruky (t11=2, 24, P<0, 05), zatiaľ čo väčšie ipsilaterálne aktivácie boli vyvolané pohybmi ľavej (nepreferovanej) ruky v porovnaní s pravou (preferovanou) rukou (t11=2, 87; P<0, 05). ~~~ Oba prípady viedli k väčšej celkovej aktivácii ľavej hemisféry.	As illustratedin Figure 2, during the complex movement task in the RH group, larger contralateral activations were elicited by right (preferred) hand movements than left (non- preferred) hand movements (t11=2. 24; P<0. 05), whereas larger ipsilateral activations were elicited by left (non-preferred) hand movements than the right hand movements (t11=2. 87; P<0. 05), both leading to greater total activation in the left hemisphere.	0.0995311
Opačný model aktivácie sa objavil v skupine Ľ, kedy väčšie kontralaterálne aktivácie boli vyvolané pohybmi ľavej (preferovanej) ruky a väčšie ipsilaterálne aktivácie pohybmi pravej (nepreferovanej) ruky. Oba prípady viedli k väčšej celkovej aktivácii pravej hemisféry aj napriek tomu, že rozdiely medzi rukami neboli podstatné pre objem aktivácií kontralaterálnej alebo ipsilaterálnej hemisféry.	The reverse pattern of activation emerged in the LH group: larger contralateral activations were elicited by the left (preferred) hand, and larger ipsilateral activations were elicited by the right (non- preferred) hand (both leading to larger total activation in the right hemisphere, however the differences between hands were not significant for contralateral or ipsilateral activation volumes).	0.298256
V skupinách s preučenými ľavákmi (ÚP a NP) bol model ipsilaterálnych aktivácií podobný tomu v skupine P a Ľ, pričom kontralaterálne aktivácie oboch rúk sa navzájom nelíšili.	In the two switched (SS and SU) groups the pattern of ipsilateral activations resembled those found in the RH and LH groups, respectively; whereas the contralateral activations for either hand did not differ from each other.	0.214865
Na analýzu možného vzťahu medzi modelom aktivácie mozgu a modelom lateralizovaného správania sme celkové objemy aktivácie v oboch hemisférach korelovali s indexom HPI, ktorý sme zhotovili na základe Oldfieldovho Edinburghského dotazníka.	To analyze a possible relationship between brain activation patterns and behavioral lateralization patterns, total volumes of activation in each hemisphere were correlated with HPI index (assessed by the Oldfield Inventory).	0.378407
Pearsonov korelačný koeficient ukázal v prípade celej výskumnej vzorky (počiatočné údaje o všetkých jednotlivcoch z každej skupiny) významnú pozitívnu koreláciu (r=0, 31, P<0, 05) medzi indexom HPI a celkovým množstvom aktivácií v ľavej hemisfére.	Pearson correlation procedures for the entire sample of subjects (raw data from individual subjects from all four groups) revealed a significant positive correlation (r=0.31, P<0. 05) between the HPI and the total amount of activation in the left hemisphere.	0.548771
Pri pravej hemisfére sme takúto spojitosť nespozorovali.	No such relationship was found for the right hemisphere.	0.287755
Vyššie hodnoty HPI (t. j. silnejšia preferencia pravej ruky) sme asiciovali s väčšou aktiváciou v ľavej hemisfére.	Higher HPIs (i. e. stronger right hand preference) were associated with larger volume of activation in the left hemisphere.	0.278788
Analýzy, ktoré sme vykonali samostatne pre jednoduché a komplexné pohybové úlohy ukázali, že takáto korelácia bola príznačná len pre komplexné pohybové úlohy (r=0, 34, P<0, 05).	Separate analyses for the simple and complex movements revealed that this correlation was only significant for complex movements(r=0. 34, P<0. 05).	0.514134
DISKUSIA	DISCUSSION	0.233333
Táto štúdia skúmala objem aktivácií v ľavej a pravej hemisfére počas rukami vykonávaných pohybov v prípade pravákov, ľavákov a preučených jednotlivcov, ktorí boli v detstve nútení k preučeniu sa z ľavej ruky na pravú.	This study examined the volume of left and right hemisphere activations during hand movements in right-handers, left-handers and originally left-handed individuals who, during their childhood, received pressure to switch hand preference toward the right side.	0.233514
Naším cieľom bolo objasniť otázky súvisiace s mechanizmami mozgu zodpovednými za preferenciu konkrétnej ruky, no predovšetkým skúmať, ako dokáže zmena preferencie ruky ovplyvniť organizáciu motorickej kontroly v mozgu.	Our goal was to clarify issues related to the brain mechanisms of hand preference and, specifically, to investigate the effect of switching hand preferences on the organization of motor control in the brain.	0.272727
Na rozdiel od predchádzajúcich štúdií sme počas toho, ako výskumná vzorka vykonávala manuálne úlohy, kontrolovali potenciálne vplyvy niekoľkých faktorov, o ktorých sa predpokladá, že zohrávajú určitú úlohu v modeli mozgových aktivácií. ~~~ Išlo o tieto faktory: typ pohybu (jednoduchý vs. komplexný), ruka vykonávajúca pohyb (preferovaná vs. nepreferovaná) a aktivovaná hemisféra (ipsilaterálna vs. kontralaterálna).	In contrast to previous studies, we controlled for the potential influences of several factors that are suspected to play a role in the brain activation pattern while subjects perform manual tasks: type of movement (simple vs. complex), hand performing the movement (preferred vs. non-preferred) and the activated hemisphere (ipsilateral vs. contralateral).	0.12846
Najzrejmejším zistením našej štúdie bolo, že nezávisle od toho, ktorá ruka vykonávala ktorú úlohu, aktivácie v kontralaterálnej hemisfére boli vždy väčšie než aktivácie v ipsilaterálnej hemisfére, a to vo všetkých skupinách výskumnej vzorky.	The most obvious finding of our study was that, for both hands and tasks, the contralateral activations were larger than the ipsilateral activations in all groups.	0.146763
Toto zistenie je v súlade s niekoľkými predchádzajúcimi štúdiami a mohlo by tiež súvisieť so skutočnosťou, že väčšina motorických vlákien sa kríži vnútri pyramídovej dráhy.	This concords with several previous studies and could be related to the fact that most ofthe motor fibers cross within the pyramidal tract.	0.221186
Čo sa týka hlavnej otázky vplyvu preferencie ruky na funkčnú asymetriu hemisfér naša štúdia dokázala, že pohyby vykonávané preferovanou rukou u pravákov aj ľavákov vyvolali väčšie kontralaterálne aktivácie než pohyby vykonávané nepreferovanou rukou.	Regarding the main question of the effect of hand preference on hemispheric asymmetry, our study revealed that both in left-handers and right-handers, movements of the preferred hand (right in RH and left in LH) produced larger contralateral activations than movements of the non-preferred hand.	0.251835
Pohyby nepreferovanej ruky viedli naopak k väčším ipsilaterálnym aktiváciám.	In contrast to this, movement of the non-preferred hand, led to larger ipsilateral activations.	0.23913
U pravákov sme zaznamenali všeobecnú prevahu aktivácie ľavej hemisféry, zatiaľ čo u ľavákov prevažovala aktivácia pravej hemisféry. V druhom prípade však bola táto asymetria menšia.	Consequently, in right-handers there was a general predominance of left-hemisphere activation, whereas in left-handers there was a predominance of right-hemisphere activation; although in the latter case, the asymmetry was smaller.	0.214557
Treba však spomenúť, že tieto javy boli príznačné skôr pre komplexné pohybové úlohy, pretože počas vykonávania jednoduchých pohybov aktivácie vyvolané pohybom jednotlivých rúk boli podobné.	Notably, these effects were specific to complex rather than simple tasks (during simple tasks the activations elicited by either hand were similar).	0.210938
To sa zhoduje s predchádzajúcimi pozorovaniami Solodkina a kol. (2001) a Verstynena a iných (2005), ktorí obajavili rozdiely súvisiace s preferenciou ruky tiež len pri komplexných pohybových úlohách.	This concords with the previous observations by Solodkin and coauthors (2001) and Verstynen and others (2005) who also found handedness-related differences onlyfor complex tasks.	0.387308
Zistenie Klöppela a kol. (2007), že kortikálna senzomotorická reprezentácia môže závisieť od preferencie ruky pri jednoduchých pohyboch, ako je stláčanie tlačidla, by mohlo byť asociované s experimentálnym postupom, ktorý sa výrazne líšil od postupu použitého v iných štúdiách.	Finding by Klöppel and colleagues (2007) that the cortical sensorimotor representation may depend on hand preference in simple bar pressing movements could be associated with the experimental procedure which differed considerably from that usedin other studies.	0.362579
Pri paradigme voľby reakčného času sme od participantov očakávali reakciu buď ich ľavej, či pravej ruky, alebo oboch rúk v závislosti od toho, ktorý z troch možných vizuálnych podnetov sa zobrazí.	In this choice reaction time paradigm the subjects were expected to react with their left, right, or both hands depending on a presentation of one of three possible visual cues.	0.263758
Kvôli ťažkostiam s odlíšením ľavej a pravej strany môže byť táto úloha obzvlášť náročná pre ľavákov.	This task might present special difficulty for the left-handers due to their problems with discrimination between the left and right directions.	0.163953
Preto je pravdepodobné, že výsledky, ktoré získali Klöppel a kol. (2007) súvisia skôr s rozhodovaním týkajúcim sa výberu ruky, než s monitorovaním vykonania automatického pohybu – stlačenie tlačidla.	It seems plausible therefore, that the results obtained by Klöppel and coauthors (2007) are related to decisions regarding the hand choice rather than to monitoring the execution of an automatically performed bar pressing.	0.475683
Zistenie, že v prípade skupiny pravákov aj ľavákov došlo pri vykonávaní pohybov preferovanou rukou k väčšej kontralaterálnej aktivácii a pri vykonávaní pohybov nepreferovanou rukou k väčšej ipsilaterálnej aktivácii, poukazuje na existenciu spoločného mechanizmu pre motorickú kontrolu.	The finding that, in both the RH and LH groups, movements of the preferred hand lead to greater contralateral activation and movements of the non-preferred hand lead to greater ipsilateral activation implicates the existence of a common mechanism for motor control.	0.347895
To môže spočívať v tom, že dominantná hemisféra riadi motorické funkcie nielen kontralaterálnej, preferovanej ruky, ale tiež ipsilaterálnej, nepreferovanej ruky.	It may consist in exerting the motor control by the dominant hemisphere not only over the contralateral (preferred) hand but also over the ipsilateral (nonpreferred) hand.	0.291608
Nedominantná hemisféra je naopak zapojená najmä do motorickej kontroly kontralaterálnej, nepreferovanej ruky.	In contrast, the non-dominant hemisphere is involved mainly in the motor control of the contralateral (non-preferred) hand.	0.272727
Inak povedané, preferovanú ruku podľa všetkého riadi najmä dominantná hemisféra, zatiaľ čo na riadení nepreferovanej ruky sa podieľajú obe hemisféry, čo tiež dokázal Baraldi a iní (1999).	In other words the preferred hand seems to be controlled mainly by the dominant hemisphere, while the non-preferred hand is controlled by both the dominant and non-dominant hemispheres as has already been suggested by Baraldi and others (1999).	0.429101
Zo záveru vyplýva, že ľavá hemisféra zohráva u pravákov dominantnú úlohu v motorických funkciách. ~~~ Toto tvrdenie je v súlade s klinickými dôkazmi, podľa ktorých je apraxia končatín častejšia skôr pri poškodení ľavej ako pravej hemisféry, pričom negatívne ovplyvňuje motorické zručnosti dokonca aj vtedy, keď pacienti začnú používať ľavú, ipsilaterálnu ruku.	The conclusion that in the right-handers the left hemisphere plays a dominant role in motor control is consistent with clinical evidence demonstrating that limb apraxia is more common after left hemisphere damage than after right hemisphere damage and disrupts motor skills even when the left, ipsilesional hand is used by the patients.	-0.000977317
Záver tiež zodpovedá anatomickým údajom preukazujúcim štrukturálne asymetrie v sulcus centralis (väčšie plochy dorzolaterálnej motorickej kôry v dominantnej hemisfére) u pravákov aj ľavákov.	This conclusion also conforms the anatomical data showing structural asymmetries in the central sulcus (larger surfaces of dorsolateral motor cortex in the dominant hemisphere) in right-handers and left-handers.	0.396598
Nedávna klinická štúdia (Rinehart et al. , 2009) zaoberajúca sa pravákmi, ktorí utrpeli jednostrannú paretickú mozgovú príhodu, priniesla ďalšie poznatky presne zodpovedajúce našim zisteniam.	Interestingly, recent clinical study on right-handed patients with unilateral paretic stroke (Rinehart et al. 2009) provided further observation, which perfectly matches our findings.	0.787037
V tejto štúdii sa autori snažili použitím zápästných akcelerometrov posúdiť relatívnu mieru využívania samostatne pravej a ľavej ruky a tiež oboch rúk naraz.	In this study the authors assessed the relative use of the right, left and both arms with wrist accelerometers.	0.165957
Štúdia preukázala, že používanie ipsilaterálnej, ale nie kontralaterálnej končatiny, po utrpení jednostrannej mozgovej príhody bolo ovplyvnené pôvodnou preferenciou ruky: pacienti s poškodenou pravou hemisférou používali ich ipsilaterálnu, a teda preferovanú pravú končatinu viac ako zdraví praváci a viac ako pacienti s poškodenou ľavou hemisférou používali ich ipsilaterálnu, a teda nepreferovanú ľavú končatinu.	The study demonstrated that the use of the ipsilateral but not contralateral limb after unilateral stroke was influenced by hand preference: the right hemisphere damaged patients used their ipsilateral, right (preferred) limb more than the left-hemisphere damaged patients used their ipsilateral, left(non-preferred) limb and more than healthy righthanders.	0.248875
Inak povedané, pri poškodení ľavej hemisféry boli motorické schopnosti ľavej ruky narušené viac ako motorické schopnosti pravej ruky pri poškodení pravej hemisféry.	In other words the damage to the left hemisphere impaired the motor abilities of the left hand more than the damage to the right hemisphere impaired the motor abilities of the right hand.	0.275
To by mohlo naznačovať, že u pravákov je účasť ľavej, dominantnej hemisféry na riadení motoriky ipsilaterálnej, ľavej ruky väčšia, ako je účasť pravej hemisféry na riadení motoriky ipsilaterálnej, pravej ruky.	This might suggest that in right-handers the involvement of the left (dominant) hemisphere in ipsilateral (left hand) motor control is greater than the involvement of the right hemisphere in the ipsilateral (right hand) motor control.	0.266851
Toto potvrdzuje naše zistenie, že ľavá hemisféra sa v prípade pravákov podieľa na riadení motoriky kontralaterálnej aj ipsilaterálnej ruky.	This nicely concords our findings which showed the involvement of the left hemisphere in both the contralateral and ipsilateral motor control in right-handers.	0.260656
Tieto zistenia sa tiež zhodujú s našim záverom, že u pravákov sa pravá hemisféra podieľa najmä na riadení motoriky kontralaterálnej, ľavej ruky. Poškodenie tejto hemisféry tak nemá nepriaznivý vplyv na motoriku pravej ruky ako v prípade poškodenia ľavej hemisféry, ktoré má nepriaznivý vplyv na motoriku ľavej ruky.	Those findings also agree to our conclusion that the right hemisphere in right-handers is mainly involved inthe contralateral (left hand) control and thus, damage to this hemisphere does not have so much negative impact on the use of the right hand as does the damage to the left hemisphere on the use of the left hand.	0.29434
Tieto údaje tiež zodpovedajú všeobecnému záveru o tom, že ľavá hemisféra zohráva dominantnú úlohu v riadení motoriky pravákov.	Those data also conform the general conclusion regarding the dominance of the left hemisphere in motor control in right-handers.	0.297273
Aký význam by mohol mať relatívne väčší objem aktivácií v hemisfére kontralaterálnej k preferovanej ruke?	What could be the functional significance of relatively greater volume of activation in the hemisphere contralateral to the preferred hand?	0.205435
Je rozumné predpokladať, že zväčšenie objemu nervového tkaniva podieľajúceho sa na motorickom správaní by mohlo dopomôcť k jeho správnej realizácii.	It is reasonable to assume that an increase in the volume of neural tissue engaged in a motor behavior may support the correct execution of that behavior.	0.297674
Rozšírenie motorickej kôry zodpovedajúcej za motoriku ruky v hemisfére kontralaterálnej k preferovanej ruke môže poskytnúť neurálny substrát na vykonávanie komplexných motorických činností touto rukou.	The expansion of hand motor cortex in the hemisphere contralateral to the dominant hand may thus provide the neural substrate for the more efficient execution of the complex motor activities performed by this hand.	0.294972
Vysoká zdatnosť v riadení motoriky hemisférou kontralaterálnou k preferovanej ruke môže byť potom využitá pri vykonávaní pohybových činností nielen preferovanou rukou, ale tiež nepreferovanou.	The high proficiency in motor control of the hemisphere contralateral to the preferred hand may then be utilized during the execution of motor tasks not only by the preferred hand but also by the non-preferred one.	0.282353
Nájdenie väčších objemov aktivácie v hemisfére kontralaterálnej k preferovanej ruke u pravákov aj ľavákov je tiež v súlade s niekoľkými ďalšími štúdiami využívajúcimi funkčné zobrazovacie metódy pri skúmaní mozgu pravákov a ľavákov.	The finding of higher volumes of activation in the hemisphere contralateral to the preferred hand in both right- and left-handers agrees with a few other functional imaging studies of right- and left-handers.	0.35046
V tejto štúdii sme tiež skúmali organizáciu mozgu participantov, ktorí boli pôvodne ľaváci, no v siedmom roku života boli nútení k preučeniu z ľavej ruky na pravú.	In the present study we also investigated the brain organization patterns of subjects who were originally left-handed, but at the age of 7, were switched to righthandedness.	0.278261
Výsledky ukázali, že títo participanti mali spoločné vlastnosti s ľavákmi aj pravákmi.	The results showed that switched participants shared features of both left-handers and righthanders.	0.248684
Môžeme preto predpokladať, že mozgy pôvodných ľavákov prešli plastickými zmenami, ktoré spočívali v reorganizácii ich motorických funkcií podľa vzoru mozgu praváka.	Therefore, it could be speculated that the brains of the originally left-handed subjects underwent plastic changes that consisted in reorganization of their motor function toward the right-handed” brain.	0.233793
Táto reorganizácia však nebola stopercentná, keďže mozog stále preukazoval určité pôvodné znaky mozgu ľaváka.	This reorganization, however, was not complete and showed persisting features of the left-handed” brain.	0.283696
Zaujímavé je, že existuje zhoda medzi mierou predpokladanej reorganizácie mozgu a mierou, do akej jednotlivci zmenili preferenciu na pravú ruku.	Interestingly, there was a correspondence between the amount of supposed brain reorganization and the degree to which the individuals changed their hand preferences toward the right side.	0.357143
Aj keď rozdiely v aktivácii mozgu v prípade oboch skupín preučených participantov (NP a ÚP) neboli štatisticky významné, je potrebné poznamenať, že modely aktivácie ich mozgov odrážali rozdiely spozorované na úrovni správania: skupina ÚP bola podobnejšia skupine P, zatiaľ čo skupina NP viac pripomínala skupinu Ľ (minimálne vtedy, keď sme brali do úvahy model ipsilaterálnych aktivácií).	Although the differences in brain activation in the two switched (SU and SS) groups were not statistically significant, it is worth noting that the activation patterns of their brains reflected the differences observed at the behavioral level: the SS group was more similar to the RH group, while the SU group resembled the LH group (at least when the pattern of ipsilateral activations was considered).	0.294611
V oboch skupinách preučených ľavákov však bola organizácia mozgu viac symetrická ako vo zvyšných dvoch skupinách.	In both groups of converted left-handers, however, the brain organization was more symmetrical than in the two consistent handedness groups.	0.230303
Otázkou ostáva, či je asymetria hemisfér v kôrovej organizácii motorických funkcií dôsledkom alebo príčinou preferencie jednej z rúk.	It is a matter of debate whether the hemispheric asymmetry in cortical organization of motor function is a consequence of, or a cause of hand preferences.	0.266667
Existujú dve protichodné vysvetlenia, ktoré by sa mali brať do úvahy. ~~~ Rôzna preferencia rúk môže viesť k rôznemu rozvíjaniu ľavej a pravej ruky, a teda k rôznej kortikálnej reprezentácii jednotlivých rúk.	There are two contradictory explanations that should both be considered; different hand preferences may lead to differences in the amount of left and right hand training and, consequently, to differences in the cortical representation of each hand.	-0.0305085
Dalo by sa polemizovať o tom, že práve to je hlavný rozdiel v organizácii mozgu, ktorý predstavuje príčinný faktor podmieňujúci preferenciu konkrétnej ruky.	It could also be argued that it is the primary difference in brain organization that constitutes the causal factor driving human handedness.	0.2625
Skupiny NP a ÚP participantov sa v skorom veku mohli líšiť profilom svojej preferovanej ruky.	The two groups of SU and SS subjects might have been different from an early age as to their hand preference profiles.	0.2325
Ich súčasné modely organizácie mozgu by teda mohli byť dôsledkom týchto skorých rozdielov (Harris, 1990).	Their present brain organization patterns could, therefore, be a consequence of those early differences (Harris 1990).	0.44837
Riešenie tohto nejasného problému sme sa rozhodli prenechať budúcim výskumom. ~~~ Musíme však podotknúť, že ani jedna skupina preučených participantov (dokonca ani skupina ÚP) sa nebola schopná úplne adaptovať svetu prispôsobenému pre pravákov či kompletne zmeniť preferenciu ruky.	Leaving the solution of this chicken and egg problem to future research, we want to note that neither of the two switched groups (even the SS group) was able to conform fully to environmental demands and completely change their hand preferences to full right- handedness.	-0.0105263
V dôsledku toho bolo ich HPI výrazne nižšie než v skupine rodených pravákov.	Consequently, their HPIs were significantly lower than those of the group of consistent right-handers.	0.184615
Tento rozdiel môže odrážať dôležitosť zdedených faktorov pri formovaní funkčnej architektúry mozgu, ktorý môže prechádzať zmenami a prestavbou len v obmedzenej miere.	This difference may reflect the importance of inherited factors in shaping brain architecture, which can only undergo plastic changes to a limited extent.	0.401111
K podobnému záveru dospeli autori dvoch predchádzajúcich štúdií, ktorí pomocou funkčnej magnetickej rezonancie skúmali preučených ľavákov.	Similar conclusion was drawn by the authors of two previous studies performed on converted left-handers, using functional MRI.	0.261818
Výhoda našej štúdie spočíva v testovaní účinkov preferencie ruky na modely mozgovej aktivácie, a to použitím samostatných záznamov pre ruku a hemisféru (ipsilaterálnu alebo kontralaterálnu k ruke vykonávajúcej pohyb).	The advantage of our study consists in testing the effects of handedness on brain activation pattern using separate recordings for hand and hemisphere (ipsilateral or contralateral to the moving hand).	0.37052
V predchádzajúcich fMRI štúdiách autori použili buď paradigmu, ktorá neumožňovala vykonať takéto porovnanie (Siebner et al. , 2002), alebo jednoducho ignorovali tieto faktory (Klöppel et al. , 2007). Zamerali sa na identifikáciu tých oblastí mozgu, kde preučení ľaváci preukazovali stály rozdiel BOLD signálu v úlohe týkajúcej sa podmienených mechanizmov a rúk.	In theprevious fMRi studies the authors either used the paradigm which did not allow for making such comparison (Siebner et al. 2002) or simply disregarded those factors (Klöppel et al. 2007) focusing on identification of brain regions where converted left-handers showed a consistent difference in task related BOLD signal across all movement conditions and hands.	0.761538
Takýto prístup im neumožnil sústrediť sa na mechanizmy, ktoré môžu byť odlišné v prípade ipsilaterálnych a kontralaterálnych modelov aktivácie.	Such approach did not allow them to focus on the mechanisms which, as we have shown, may differ for ipsilateral vs contralateral activation patterns.	0.297619
V oboch preučených skupinách (ÚP a NP) sme spozorovali, že práve modely ipsilaterálnych aktivácií sa podobali aktiváciám nájdeným v skupine rodených pravákov a ľavákov. To by mohlo naznačovať, že motorické zastúpenie v ipsilaterálnej hemisfére má v porovnaní s kontralaterálnou hemisférou väčšiu tendenciu k reorganizácii v dôsledku vzdelávacieho tréningu.	The observation that in the two switched (SS and SU) groups it was the patterns of ipsilateral and not contralateral activation which resembled that found in the RH and LH groups might suggest that the ipsilateral motor representation is more prone to undergo reorganization due to educational training than the contralateral one.	0.267857
Testovanie tohto tvrdenia si však vyžaduje ďalší hĺbkový výskum.	Testing this interesting possibility, however, requires more specific further investigation.	0.157895
Je všeobecne známe, že jednotlivci, či už praváci alebo ľaváci, sa značne líšia špecifickým modelom preferencie ruky.	It is widely known that individual subjects, whether they are right- or left-handed, differ considerably as to their specific pattern of handedness.	0.223529
V tejto štúdii sme sa pokúsili priamo spojiť behaviorálne rozdiely (individuálne profily preferencie ruky) s individuálnymi modelmi aktivácií v oboch hemisférach.	In this study, we attempted to directly relate behavioral differences (individual profiles of hand preference) to individual patterns of activation in the two hemispheres.	0.287413
Otázkou teda bolo, či individuálne modely organizácie motorickej kontroly v mozgu predstavujú kontinuum, ktoré priamo zodpovedá kontinuu individuálnych modelov preferencie ruky.	In other words the question was whether individual patterns of organization of motor control in the brain constitute a continuum that corresponds directly with a continuum of individual patterns of hand preferences.	0.248734
Naše údaje objavili významnú koreláciu medzi celkovou aktiváciou v ľavej hemisfére a indexom preferencie ruky (HPI), čo naznačuje, že čím väčšia je preferencia pravej ruky, tým väčšia je celková aktivácia ľavej hemisféry.	Our data revealed a significant correlation between total activation in the left hemisphere and the handedness preference index (HPI) that indicates that the stronger the right hand preference, the larger the total volume of activation in the left hemisphere.	0.342218
Podobný vzťah medzi indexom preferencie ruky a anatomickými parametrami ukázali Amunts a kol. (1996, 2000) v primárnej senzomotorickej kôre a Klöppel a iní (2010) v strede ľavého putamenu.	A similar relationship between hand preference index and the anatomical parameters has been demonstrated by Amunts and coauthors (1996, 2000) in the primary sensorimotor and by Klöppel and others (2010) in the left middle putamen.	0.752427
ZÁVER	CONCLUSIONS	0
V prípade ľavákov aj pravákov je preferovaná ruka riadená predovšetkým kontralaterálnou hemisférou, zatiaľ čo nepreferovaná ruka je riadená oboma hemisférami.	To sum up, in both left- and right-handed subjects, the preferred hand is controlled mainly by the hemisphere contralateral to that hand, whereas the nonpreferred hand is controlled by both hemispheres.	0.229286
Pokiaľ ide o motorickú kontrolu a profily preferencie ruky, preučení jednotlivci zdieľajú vlastnosti ľavákov aj pravákov.	The switched individuals share features of both left- handersand right-handers regarding their motor control architecture and hand preference profiles.	0.224299
Zvyšovanie úrovne pohybových aktivít viedlo k zvýšenému objemu stále aktivovaných oblastí a navyše k zapojeniu aj ipsilaterálnych aktivácií ku kontralaterálnym aktiváciám, a to najmä v dominantnej hemisfére.	Increasing levels of complexity of motor activity results in an increase in the volume of consistently activated areas and the involvement of the ipsilateral in addition to contralateral activations, especially in the dominant hemisphere.	0.367582
POĎAKOVANIE	ACKNOWLEDGEMENTS	0.175
Týmto by sme sa chceli poďakovať profesorovi Terrencovi Hinesovi za cenné pripomienky k prvému konceptu štúdie a tiež Barbare Sobieckej a Justyne Kozubovej za technickú pomoc.	The authors thank prof. Terrence Hines for his valuable comments on the first draft of this paper and Barbara Sobiecka and Justyna Kozub for technical assistance.	0.271739
Štúdia bola podporená grantom Poľského štátneho výboru pre vedu a výskum č. 1 H01F 056 27 a grantom Ministerstva vedy a vysokého školstva Poľskej republiky č. 2011/03/B/HS6/05161.	This study was supported by a grant no. 1 H01F056 27 from the Polish State Committee for Scientific Research and grant no. 2011/03/B/HS6/05161 from the Polish Ministry of Science and Higher Education.	0.59026
Kto bola Juliana z Norwichu?	Who was Julian of Norwich?	0.273913
Aby sme pochopili osobnosť a odkaz tejto mimoriadnej stredovekej anglickej mystičky žijúcej v druhej polovici štrnásteho a na začiatku pätnásteho storočia, musíme sa stručne pozrieť aj na historické obdobie, v ktorom pôsobila.	In order to understand the figure and the message of this extraordinary English medieval mystic of the late fourteenth and early fifteenth century we have to glimpse briefly the historical background in which she lived.	0.283871
V štrnástom storočí žilo mnoho významných mystikov či svätcov, napríklad Angela z Foligna, Getrúda Veľká, Kristína zo Stommelnu, Ramon Lull, Margita Ebnerová, Henrich Suso, Lidwina zo Schiedamu, Katarína Sienská či Brigita Švédska, ktorí sa usilovali o cirkevnú a pápežskú reformu.	The fourteenth century was a period of many great mystics and saints, like Angela of Foligno, Gertrude the Great, Christina of Stommeln, Raymond Lull, Margaret Ebner, Henry Suso, Lidwina of Schiedam, also Catherine of Sienna and Bridget of Sweden who struggled for the Reform of the Church and the Papacy.	0.64857
Boli to veľmi ťažké časy.	At the same time it was an unusually tumultuous age.	0
Epidémia čiernej smrti, veľká schizma a Storočná vojna medzi francúzskym a anglickým kráľom spôsobili, že toto obdobie považujeme za jedno z najtemnejších v histórii Cirkvi.	The plague of the Black Death, the Great Schism and the Hundred Years’ War between the kings of France and England made of this period one of the darkest moments of the world and Church history.	0.28
Utrpenie a zmätok poznačili nielen európsky kontinent, ale hlboko zasiahli aj Anglicko.	This general situation of suffering and confusion was present not only on the continent, but was deeply felt in England as well.	0.179221
V roku 1348 sa prvá vlna čiernej smrti rozšírila z kontinentu do Británie.	The first wave of the Black Death came to Britain from the continent in 1348 when Julian was about six years old.	2.51429
V tom čase mala Juliana asi šesť rokov. ~~~ Dve ďalšie udreli v rokoch 1361 a 1369.	Two further onslaughts followed in 1361 and 1369 when she was nineteen and twenty-six years old.	-0.0335821
Vtedy mala devätnásť a dvadsaťšesť rokov. ~~~ Takmer každý, kto prišiel do styku s chorými, sa nakazil a zomrel.	The disease was so violent and contagious that nearly anyone who touched the sick became infected and died.	-0.00494505
Kronikár tohto obdobia uvádza, že kňazov starajúcich sa o umierajúcich pochovávali do hrobu spolu s ich kajúcnikmi.	A chronicler of that period reports that the priests who ministered to the dying, were put into the same grave with their penitents.	0.267
Odhaduje sa, že choroba vyhubila takmer tretinu populácie.	It is estimated that more than a third of the population perished.	0.276923
Mnohí považovali epidémiu za eschatologické znamenie Božieho trestu.	There were many who considered the plague an eschatological sign of divine retribution.	0.232258
Historicky najdlhšia vojna trvajúca od roku 1337 do 1453 iba upevňovala dojem, že apokalypsa je za dverami.	The impression that apocalyptic times were at the doors was strengthened by the longest conflict in the history of warfare, lasting from 1337 to 1453.	0.352536
