Podvedomie je podivuhodný úkaz.	Consciousness is a strange beast.	0.289655
Rovnaký, no zároveň iný	Same, but different	0.25
Určité rozdiely boli zaznamenané v oboch skupinách – ako u ľudí pod hypnotickou paralýzou, tak aj a u ľudí trpiacich skutočnou hysterickou paralýzou.	However, both groups also saw some differences in brain activity between hypnotic paralysis and people with genuine cases of hysterival paralysis.	0.297638
Cojan, ktorý zaznamenal väčšie rozdiely než Halligan, si myslí, že hoci je tento fakt z pohľadu výskumu zaujímavý, je len malá pravdepodobnosť, že hypnóza poskytne ľuďom so skutočnými poruchami lekársky relevantné výsledky.	Cojan – who saw greater differences than Halligan – thinks this means that, while interesting as a research tool, hypnosis is unlikely to produce clinically relevant results for people with real disorders.	0.269143
Aj napriek tomu ich výskumy viedli k niekoľkým zaujímavým záverom.	Nevertheless, their studies have lead them to some interesting conclusions.	0.253448
Napríklad sa zistilo, že tie mozgové aktivity, ktoré sú väčšinou spojené s úmyselným zákazom pohybu, sa neaktivizujú u ľudí s hysterickou paralýzou a rovnako ani u zhypnotizovaných dobrovoľníkov. ~~~ Tento fakt svedčí o tom, že v tomto prípade sa naozaj nehýbu preto, lebo nemôžu a nie preto, lebo nechcú.	For example, the work suggests that brain areas normally associated with the intentional inhibition of movement are not active in people with hysterical paralysis nor hypnotised volunteers, suggesting that it really is the case that they cannot, rather than will not, move.	-0.0154506
Zatiaľ je otázne, či podobné výskumy pomôžu v rozvoji liečby pre pacientov.	Whether such studies will help to develop treatments for patients remains to be seen.	0.263077
Najúčinnejšie by zrejme bolo jednoducho ľudí presvedčiť, že dané stavy sú reálne.	Perhaps the biggest impact will simply be to convince people that the conditions are real.	0.274648
Títo pacienti sa môžu v zdravotníctve stretnúť s rôznymi pejoratívnymi vyjadreniami typu - všetko je len vo vašej hlave, hovorí Antony Feinstein zo zdravotníckeho centra Sunnybrook Health Sciences Centre v Toronte, Kanade.	These patients can run into aspects of the healthcare system that are very pejorative – theyre constantly told it's all in your head, says Antony Feinstein of the Sunnybrook Health Sciences Center in Toronto, Canada.	0.739791
Hovoríme: áno, všetko je vo vašej hlave, pretože aj váš mozog je vo vašej hlave.	We say yes, it's all in your head, because your brain is in your head.	0.247368
Máme možnosť ukázať doktorom aj pacientom, ako vážne treba tieto stavy brať a práve to je dôležitý krok vpred.	Being able to show both doctors and patients that the conditions are being taken seriously is a big step forward.	0.593548
V súčasnosti liečba porúch zahŕňa terapiu rozprávaním, hypnotickú sugesciu na uľavenie od symptómov či dokonca psychoterapiu, čo niekedy funguje pre človeka ako dôvod na to, aby sa cítil lepšie.	At present, treatments for the disorders include talking therapy, hypnotic suggestion to relieve symptoms and even physiotherapy - which sometimes gives a person an excuse to get better.	0.286875
V mnohých prípadoch sú tieto postupy bezúspešné.	In many cases, these approaches are unsuccessful.	0.293023
Dôležité je lepšie porozumieť tým mozgovým štruktúram, ktoré prestali správne fungovať, čo by mohlo priamo ovplyvniť smer budúcej terapie.	A better understanding of the pathways in the brain that have gone away should help to direct future therapies.	0.21383
Až keď pochopíme systém fungovania, pochopíme i to, ako s ním zaobchádzať, hovorí Halligan.	If we understand how to treat it, says Halligan.	0.321951
Opäť v kresle hypnotizéra prechádza Oakley k ďalšej virtuálnej poruche, kedy mi vsugeruje pocit, že moja pravá ruka sa zdvihne pomocou balóna, čo sa malo jemne podobať na syndróm cudzej končatiny.	Back in the hypnotists chair, Oakley moves on to the next virtual disorder. ~~~ He includes in me a sensation that my right hand is being lifted by a balloon, a gentle approximation of alien limb syndrome.	-0.00179641
Moje zápästie sa trocha nadvihne.	My wrist inches upwards.	0.190909
Neskôr mi prikáže, že ak otvorím oči, nebudem vidieť nič z ľavej časti zrakového poľa, čím chcel navodiť obmedzenosť zrakového poľa.	He next suggests that when I open my eyes, I will not be able to see anyting on in the left of my visaul field, an analogue of visual neglect.	0.297345
So zvedavosťou pomaly otváram oči, no vidím celkom normálne.	I open them slowly, fascinated to see what this will be like, but my vision is normal.	0.198113
Som trocha sklamaná, no Oakley mi hovorí, že dokonca vysoko zhypnotizovateľní ľudia zriedkakedy zažijú tento úkaz.	I feel strangely disappointed, but Oakley tells me that even highly hypnotisable people only rarely experience this effect.	0.455471
Zdá sa, že čas je to jediné, o čo som prišla. ~~~ Keď sa ma Oakley opýta, ako dlho som podľa mňa bola pod vplyvom hypnózy, odpovedám, okolo 20 minút.	The only thing I seem to have lost permanently is a little bit of time, when Oakley asks me how long I think I have been under, I reply, about 20 minutes.	0.873272
Usmeje sa a povie, že to trvalo viac než hodinu.	He grins when he tells me it was over an hour.	0.275676
Hovorí, že časová kompresia je normálny vedľajší účinok hypnózy.	Time compression is a commmon side effect of hypnosis, he says.	0.283333
Hoci som nezažila úplný syndróm cudzej končatiny ani obmedzenosť zrakovej vnímavosti, môj názor na hypnózu sa zmenil.	Although I failed to experience full alien limb syndrome or visual neglect, my thinking on hypnosis has been changed.	0.294
Po tom, čo som ju zažila na vlastnej koži, som viac presvedčená o jej sile.	I am more convinced of the power of the phenomenon after experiencing it for myself.	0.256452
Hoci nevylučujem, že mi Oakley túto myšlienku vsugeroval, kým som bola Nicolou Jonesovou - kanadskou spisovateľkou so sídlom vo Vancouvri.	Though I can't help suspecting that Oakley planted the thought in my head while I was under Nicola Jones is a writer based in Vancouver, Canada What is hypnosis?	0.407857
Čo je hypnóza? ~~~ Niektorí hovoria, že hypnóza nie je nič viac než naprogramované chovanie.	Some say hypnosis is nothing more than people acting how the think they are meant to act when hypnotised.	-0.0192308
V niektorých prípadoch to môže byť pravda, no odmietaním hypnózy sa značne podceňuje jej sila, tak ako sa podceňuje aj placebo efekt tvrdením, že je to len tabletka cukru, pričom sa zabúda na fakt, že niekomu môže pomôcť.	In some instances this may be true, but to dismiss hypnosis vastly underestimates its power, much like dismissing a plaebo as just a sugar pill glosses over the fact that it can help someone get better.	0.350724
David Oakley, bývalý profesor z Londýnskej univerzity hovorí, že pacienti s vážnymi popáleninami, z ktorých niektorých dohnala bolesť aj napriek podaniu morfia až k psychotickým stavom, sa upokojili práve počas hypnózy.	Severe burn patients, some of whom are driven psychotic from pain even when given morphine, have been made calm through hypnosis, says David Oakley, an emeritus professor at University College London.	0.454167
Keď ide psychológ Michael Nash z Univerzity Tennessee v Knoxville k zubárovi kvôli malému vŕtaniu, vyhýba sa anestézii a radšej uprednostní autohypnózu.	When Michael Nash, a psychologist at the University of Tennessee in Knoxville, goes to the dentist for some minor drilling work, he shuns anaesthesia in favour of self-hypnosis.	0.648123
Môj zubár je vždy unesený, hovorí.	The dentist is always impresssed, he says.	0.23
Od roku 1996 Národný ústav zdravia v Bethesde (Maryland) považuje hypnózu za efektívnu metódu tlmenia bolesti, a nedávne metaanalýzy potvrdili jej využitie v chirurgií.	Since 1996, the US National Institutes of Health in Bethesda, Maryland, have deemed hypnosis an effective method of pain relief, and more recent meta-analyses have confirmed its usefulness in surgery.	0.246575
Niektoré štúdie ukázali, že hypnóza môže pôsobiť proti bolesti účinnejšie než placebo tabletky.	Some studies have shown that hypnosis can have a greater pain-relief effect than placebo pills.	0.506969
Amir Raz z kanadskej Univerzity McGill v Montreale preukázal ďalší významný účinok hypnózy, ktorý často umlčí kritikov presvedčených o tom, že zhypnotizovaní dobrovoľníci to iba predstierajú.	Amir Raz of McGill University in Montreal, Canada, has demonstrated another powerful effect, which often silences critics who say hypnotised volunteers are just faking it.	0.60764
Vo všeobecnosti platí, že ak niekomu ukážete názov farby napísaný inou farbou, napríklad červenú napísanú modrou, a následne sa ich opýtate na farbu atramentu, na chvíľu zaváhajú.	In general, if you show somebody the name of a colour written in a different colour – red written in blue, for example – and ask them the colour of the ink, they pause.	0.367437
Tento jav je v človeku hlboko zakorenený, no Raz dokázal, že ak dobrovoľníkovi počas hypnózy vsugerujú, že nevie čítať, táto oneskorená reakcia môže vymiznúť.	This is a very deeply ingrained effect, but Razhas showed that using hypnosis to suggest a volunteer cannot read can eliminate this delay.	0.251282
Je veľmi dôležité, aby sa vedci pri sledovaní týchto zaujímavých javov riadili objektívnymi kritériami, hovorí Raz.	When scientists try to measure these funky things, its really important to have objective measures, says Raz.	0.45413
Je stále diskutabilné, či existuje vzorec mozgovej aktivity charakteristický pre hypnózu.	Wherher there is a pattern of brain activity characteristic of hypnosis is still up for debate.	0.29625
Výsledky niektorých nedávnych výskumov naznačujú, že zhypnotizovaní jedinci v stave odpočinku menej fantazírujú.	Some recent research hints that hypnotised volunteers have less mind wander when in a resting state.	0.247674
Ťažko však povedať, či je tento stav navodený pomocou hypnózy alebo relaxačných techník.	But it's hard to say whether this is due to hypnosis or the relaxation techniques to instigate it.	0.280519
Do akej miery ste zhypnotizovateľný?	How hypnotisable are you?	0.169565
Predpažte ruky dlaňami k sebe.	Hold your arms out straight in front of you, palms facing each other.	-0.0444444
Potom zavrite oči a predstavte si, že magnetické pole tlačí vaše ruky k sebe. Poriadne sa na minútu koncentrujte a predstavte si ten pocit.	Then close your eyes and imagien a magnetic force pulling your hands together, and really concentrate for a minute on what that might feel like.	0.529744
Teraz otvorte oči.	Now open your eyes.	0.3
Pohli sa vaše ruky smerom k sebe?	Have your arms moved together?	0.288889
Priblíži sa približne 70 % ľudí.	They do for about 70 percent of people.	4.96071
Táto skupina ľudí je považovaná za sugestibilných, a teda pravdepodobne aj ľahko zhypnotizovateľných.	This group is considered suggestible, and so probably hypnotisable.	0.15
Najlepší spôsob, ako u niekoho otestovať náchylnosť podľahnúť hypnóze, je jednoducho ho zhypnotizovať a sledovať, čo sa stane.	The best way to assess someone's susceptibility to hypnotism is simply to hypnotise them and see what happens.	0.248936
Existujú rôzne miery, ako napríklad Standfordova hypnotická miera citlivosti, ktorá meria stupeň zhypnotizovateľnosti u jedincov. ~~~ Meria sa na základe ich reakcií na rôzne sugescie pod vplyvom hypnózy, počnúc od pocitu rúk ťahaných k sebe ako magnety, až po pocity, že vaša ruka je dvíhaná za pomoci balóna.	There are various defined scales – such as the Stanford hypnotic susceptibility scale – that rank a person's hypnotisability based on their response to a dozen suggested tasks under hypnosis – from feeling your hands being drawn together as if by magnets, to feeling your arm being lifted by a balloon.	-0.00592885
Miera, ako ľahko je človek ovplyvniteľný za normálnych okolností, môže priamo súvisieť s tým, ako bude vykonávať tieto úlohy.	A strong indicator of how someone will perform on such tests is simply how susceptible they are to suggestion under normal circumstances.	0.275
Ľahko zvyčajne podliehajú hypnóze tí ľudia, ktorí sa nechávajú uniesť dejom vo filmoch alebo knihách a veria, že postavy sú skutočné, rovnako ľudia, ktorí sa dostávajú do akéhosi tranzu počas vykonávania vytrvalostných športov alebo tí, ktorí mali ako deti imaginárnych priateľov.	People who lose themselves so completely in movies or books that they believe the characters to be real, who go into a kind of trance when doing endurance sports, or who had imiginary friends as children, are usually hypnotisable.	0.300389
Tiež pomáha, ak ľudia jednoducho chcú byť zhypnotizovaní.	The motivation to be hypnotised also helps.	0.197368
Niektoré štúdie naznačujú, že naša miera zhypnotizovania je v nás hlboko zakorenená.	Some studies hint that our hypnotisability is deeply ingrained.	0.203571
Keď 50 ľudí po 25 rokoch opakovane prešlo testami podľa Standfordovej mierky, ich výsledky zostali napodiv rovnaké.	When 50 people were re-tested on the Stanford scale after a 25-year gap, their scores stayed remarkably consistent.	0.463636
James Horton z Virginskej univerzity v Charlottesville zaznamenal dokonca fyzické rozdiely v mozgu: vysoko zhypnotizovateľní účastníci mali o 30 percent väčšie rostrum, časť mozgu slúžiacu na sústreďovanie sa.	James Horton at the University of Virginia in Charlottesville has even found physical brain differences: highly hypnotisable participants had a 30 percent bigger rostrum, a part of hte brain thought to help focus attention.	1.94206
Na základe niektorých štúdií je vidieť, že miera zhypnotizovateľnosti môže byť dedičná. ~~~ Niektorí výskumníci vrátane Amira Raza z Univerzity McGill hľadajú gény, ktoré sú za to zodpovedné.	A few studies have shown that hypnotisability may be hereditary, and some researches – including Amir Raz of McGill University in Montreal, Canada – are trying to track the genes involved.	0.0601744
Prekvapivo sa väčšina výskumníkov počas rozhovoru zaradila na stupnici zhypnotizovateľnosti do skupiny priemerných ľudí.	Curiously, most of the scientists interviewed for this piece categorised themselves as only mediocre on the scale of hypnotisability.	0.277778
Vo všeobecnosti platí, že výskumníci problém rozoberajú, posudzujú a opakovane zhodnocujú, čo nie je práve hypnotický stav mysle, hovorí výskumník hypnózy David Spiegel zo Standfordovej univerzity v Kalifornií.	In general, researchers tend to dissect and criticise and re-evaluate, says hypnosis researcher David Spiegel of Stanford University, California. And that's not a very hypnotic state of mind.	0.575799
		0.3
